TITLE:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:,,Sun Mar 17 18:23:18 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROM FILE:,,WDS2-S.D00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME FROM START:,,0 (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTION:,,PART-AVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 1 RANGE:,,0.250mm - 1.000mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 2 RANGE:,,1.000mm - 2.500mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 3 RANGE:,,2.500mm - 5.000mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 1 RANGE:,,0.225mm - 0.256mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 2 RANGE:,,0.256mm - 0.289mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 3 RANGE:,,0.289mm - 0.324mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 4 RANGE:,,0.324mm - 0.361mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 5 RANGE:,,0.361mm - 0.400mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 6 RANGE:,,0.400mm - 0.441mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 7 RANGE:,,0.441mm - 0.484mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 8 RANGE:,,0.484mm - 0.529mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 9 RANGE:,,0.529mm - 0.576mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 10 RANGE:,,0.576mm - 0.625mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 11 RANGE:,,0.625mm - 0.676mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 12 RANGE:,,0.676mm - 0.729mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 13 RANGE:,,0.729mm - 0.784mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 14 RANGE:,,0.784mm - 0.841mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 15 RANGE:,,0.841mm - 0.900mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 16 RANGE:,,0.900mm - 0.961mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 17 RANGE:,,0.961mm - 1.024mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 18 RANGE:,,1.024mm - 1.089mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 19 RANGE:,,1.089mm - 1.156mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 20 RANGE:,,1.156mm - 1.225mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 21 RANGE:,,1.225mm - 1.296mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 22 RANGE:,,1.296mm - 1.369mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 23 RANGE:,,1.369mm - 1.444mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 24 RANGE:,,1.444mm - 1.521mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME (s),LA,COUNTS,BIOMASS,DEPTH (m),FLOW,FLUOR,GPS,BINS,,,,,,,,,,,,,,,,,,,,,,,,,,
0,604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,604,346,62.26,0,0,0,,320,21,0,6,19,38,41,47,44,23,20,13,11,12,6,17,15,5,6,6,2,6,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:,,Sun Mar 17 19:05:05 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROM FILE:,,CNS1-ST.D00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME FROM START:,,0 (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTION:,,PART-AVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 1 RANGE:,,0.250mm - 1.000mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 2 RANGE:,,1.000mm - 2.500mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 3 RANGE:,,2.500mm - 5.000mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 1 RANGE:,,0.225mm - 0.256mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 2 RANGE:,,0.256mm - 0.289mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 3 RANGE:,,0.289mm - 0.324mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 4 RANGE:,,0.324mm - 0.361mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 5 RANGE:,,0.361mm - 0.400mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 6 RANGE:,,0.400mm - 0.441mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 7 RANGE:,,0.441mm - 0.484mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 8 RANGE:,,0.484mm - 0.529mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 9 RANGE:,,0.529mm - 0.576mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 10 RANGE:,,0.576mm - 0.625mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 11 RANGE:,,0.625mm - 0.676mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 12 RANGE:,,0.676mm - 0.729mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 13 RANGE:,,0.729mm - 0.784mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 14 RANGE:,,0.784mm - 0.841mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 15 RANGE:,,0.841mm - 0.900mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 16 RANGE:,,0.900mm - 0.961mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 17 RANGE:,,0.961mm - 1.024mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 18 RANGE:,,1.024mm - 1.089mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 19 RANGE:,,1.089mm - 1.156mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 20 RANGE:,,1.156mm - 1.225mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 21 RANGE:,,1.225mm - 1.296mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 22 RANGE:,,1.296mm - 1.369mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 23 RANGE:,,1.369mm - 1.444mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN 24 RANGE:,,1.444mm - 1.521mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME (s),LA,COUNTS,BIOMASS,DEPTH (m),FLOW,FLUOR,GPS,BINS,,,,,,,,,,,,,,,,,,,,,,,,,,
0,604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,604,4065,691.63,0,0,0,,3860,170,7,37,146,310,415,517,422,292,253,214,193,207,159,161,184,183,135,95,44,36,13,6,9,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
